,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Mbps (Media de bajada),Total_conexiones
105,2021,3,Jujuy,23554,60758,19926,2.952,3.968,111158,0,26,111158
106,2021,3,La Pampa,9015,57881,17817,14.479,1.295,100371,116,13,100487
107,2021,3,La Rioja,11329,54744,9444,6.613,30.0,82157,3,39,82160
108,2021,3,Mendoza,91474,71247,70579,21.811,828.0,255320,619,13,255939
109,2021,3,Misiones,43230,89469,10969,7.198,7.662,158528,0,31,158528
110,2021,3,Neuquén,29650,73794,16455,19.27,640.0,139436,373,38,139809
111,2021,3,Río Negro,47934,44519,18725,15.031,18.376,144084,501,25,144585
112,2021,3,Salta,49212,98318,36126,5.724,6.453,195831,2,31,195833
113,2021,3,San Juan,40072,12922,6670,11.372,8.447,79227,256,7,79483
114,2021,3,San Luis,8417,11884,27,68.856,28.68,117716,148,22,117864
115,2021,3,Santa Cruz,12347,22961,6328,4.269,3.071,48779,197,8,48976
116,2021,3,Santa Fe,245929,443156,93412,43.447,15.64,841433,151,33,841584
117,2021,3,Santiago Del Estero,19939,85535,909,6.147,2.928,115457,1,13,115458
118,2021,3,Tierra Del Fuego,12853,36958,6,16.0,390.0,49934,289,10,50223
119,2021,3,Tucumán,104489,53868,70964,2.408,743.0,232447,25,42,232472
120,2021,2,Buenos Aires,603255,2503830,854173,113.546,57.547,4127167,5184,53,4132351
121,2021,2,Capital Federal,148989,1175097,41318,5.58,29.371,1398747,1608,73,1400355
122,2021,2,Catamarca,20305,9426,22331,1.449,2.233,55743,1,42,55744
123,2021,2,Chaco,39826,62948,27584,8.018,2.353,140726,3,37,140729
124,2021,2,Chubut,49271,41497,6081,23.682,18.706,138412,825,8,139237
125,2021,2,Córdoba,239780,467782,151855,55.944,15.519,930818,62,40,930880
126,2021,2,Corrientes,46648,67262,3731,6.557,5.303,129498,3,30,129501
127,2021,2,Entre Ríos,77836,124957,17856,23.786,13.197,257617,15,28,257632
128,2021,2,Formosa,19571,12509,3610,15.69,171.0,51551,0,24,51551
129,2021,2,Jujuy,24738,60800,19611,2.731,3.968,111848,0,26,111848
130,2021,2,La Pampa,9017,57014,17132,13.209,1.295,97551,116,12,97667
131,2021,2,La Rioja,11627,54255,9445,6.245,30.0,81599,3,39,81602
132,2021,2,Mendoza,91503,70834,44696,21.811,827.0,229052,619,13,229671
133,2021,2,Misiones,44960,87861,10376,5.317,7.662,156176,0,29,156176
134,2021,2,Neuquén,30083,72690,15619,19.218,640.0,137877,373,36,138250
135,2021,2,Río Negro,48189,43761,18727,15.031,18.376,143583,501,24,144084
136,2021,2,Salta,51396,96016,32050,5.724,6.453,191637,2,29,191639
137,2021,2,San Juan,40072,12369,6673,11.372,8.447,78677,256,7,78933
138,2021,2,San Luis,8417,11308,28,66.86,36.205,122670,148,22,122818
139,2021,2,Santa Cruz,12347,22967,6328,4.269,3.071,48785,197,8,48982
140,2021,2,Santa Fe,256741,431915,90424,43.997,17.523,840449,151,31,840600
141,2021,2,Santiago Del Estero,20734,83770,909,5.081,3.596,114089,1,13,114090
142,2021,2,Tierra Del Fuego,12853,22504,6,14.0,316.0,35404,289,9,35693
143,2021,2,Tucumán,110429,48359,71683,1.837,743.0,233026,25,40,233051
144,2021,1,Buenos Aires,629679,2452056,821597,98.806,57.864,4054936,5066,51,4060002
145,2021,1,Capital Federal,159805,1145093,39980,5.559,29.236,1378283,1390,68,1379673
146,2021,1,Catamarca,26316,4409,18688,322.0,2.233,51967,1,40,51968
147,2021,1,Chaco,43214,61251,25426,8.004,1.875,139767,3,34,139770
148,2021,1,Chubut,45501,40960,3444,23.723,18.712,131515,825,8,132340
149,2021,1,Córdoba,260350,444695,134634,54.137,17.065,910826,55,36,910881
150,2021,1,Corrientes,49160,62876,3337,5.949,5.303,126622,3,26,126625
151,2021,1,Entre Ríos,83688,118424,16846,20.836,12.169,251950,13,24,251963
152,2021,1,Formosa,20663,11412,2562,15.669,380.0,50686,0,21,50686
153,2021,1,Jujuy,32254,54324,17322,2.677,3.879,110456,0,27,110456
154,2021,1,La Pampa,8946,58711,15779,12.369,1.3,96989,116,11,97105
155,2021,1,La Rioja,17363,34984,1,250.0,30.0,52625,3,13,52628
156,2021,1,Mendoza,91844,69295,38619,18.332,833.0,218308,615,13,218923
157,2021,1,Misiones,48292,82339,7064,4.796,6.896,149387,0,25,149387
158,2021,1,Neuquén,30223,70457,14171,17.752,632.0,132862,373,34,133235
159,2021,1,Río Negro,48777,42192,17828,13.994,18.377,140667,501,22,141168
160,2021,1,Salta,54768,89187,31498,5.669,6.452,187572,2,27,187574
161,2021,1,San Juan,40072,11589,6671,11.482,8.453,78011,256,7,78267
162,2021,1,San Luis,8417,10678,28,63.826,36.205,119006,148,22,119154
163,2021,1,Santa Cruz,12347,23089,5975,4.264,390.0,45868,197,8,46065
164,2021,1,Santa Fe,277012,421480,70976,39.14,17.519,825990,137,28,826127
165,2021,1,Santiago Del Estero,26468,75849,570,5.158,3.596,111640,1,12,111641
166,2021,1,Tierra Del Fuego,12853,27247,6,0.0,316.0,40133,289,9,40422
167,2021,1,Tucumán,147199,12185,69954,1.834,740.0,231890,22,38,231912
168,2020,4,Buenos Aires,635651,2441248,804991,93.444,57.927,4028195,5066,50,4033261
169,2020,4,Capital Federal,163060,1142528,39890,4.815,29.237,1378140,1390,67,1379530
170,2020,4,Catamarca,26870,5115,17856,322.0,2.233,52395,1,38,52396
171,2020,4,Chaco,44332,61200,23687,7.997,1.875,139088,3,32,139091
172,2020,4,Chubut,45703,39756,3040,23.363,18.712,129749,825,7,130574
173,2020,4,Córdoba,267396,439322,125620,52.827,17.536,902646,55,35,902701
174,2020,4,Corrientes,50102,61495,3146,5.626,5.29,125656,3,25,125659
175,2020,4,Entre Ríos,85683,113670,15653,20.206,12.169,247368,13,24,247381
176,2020,4,Formosa,21264,10789,2432,15.341,380.0,50206,0,20,50206
177,2020,4,Jujuy,32850,52815,15639,1.077,3.47,105851,0,25,105851
178,2020,4,La Pampa,9009,58945,15432,12.194,1.315,96779,116,10,96895
179,2020,4,La Rioja,17513,34984,1,250.0,30.0,52775,3,13,52778
180,2020,4,Mendoza,91842,68364,36083,18.331,833.0,214838,615,11,215453
181,2020,4,Misiones,49462,79855,6589,4.359,6.896,147161,0,25,147161
182,2020,4,Neuquén,30468,70614,13732,17.689,632.0,132762,373,34,133135
183,2020,4,Río Negro,48991,42022,17826,13.994,18.377,140709,501,22,141210
184,2020,4,Salta,56659,87817,30604,5.858,6.452,187388,2,25,187390
185,2020,4,San Juan,40072,7004,6599,10.468,8.453,72340,256,6,72596
186,2020,4,San Luis,8417,11767,27,63.019,36.205,119287,148,21,119435
187,2020,4,Santa Cruz,12347,19657,1041,4.659,2.97,40477,197,7,40674
188,2020,4,Santa Fe,287271,414746,62692,38.712,17.392,820676,137,27,820813
189,2020,4,Santiago Del Estero,26812,70522,570,5.169,3.596,106668,1,11,106669
190,2020,4,Tierra Del Fuego,12853,26439,6,0.0,316.0,39325,289,8,39614
191,2020,4,Tucumán,149322,11150,68043,1.834,740.0,231067,22,36,231089
192,2020,3,Buenos Aires,653930,2384557,749087,94.162,55.541,3932211,5066,48,3937277
193,2020,3,Capital Federal,170375,1129573,39417,3.936,29.374,1371285,1390,64,1372675
194,2020,3,Catamarca,26868,3690,16857,261.0,2.228,49903,1,37,49904
195,2020,3,Chaco,45745,58825,20675,6.706,2.003,133951,3,31,133954
196,2020,3,Chubut,45761,39386,2897,23.216,18.767,129202,825,7,130027
