Año,Trimestre,Provincia,Correo oficial  + Correos Privados (en Pesos),Correo oficial + Correos Privados (en Unidades)
2020,2,Entre Ríos,154915178.8,2326467
2020,2,Formosa,41716072.55,2384662
2020,2,Jujuy,46871740.74,1205545
2020,2,La Pampa,52505815.41,856982
2020,2,La Rioja,31043464.09,236516
2020,2,Mendoza,294395221.9,8483470
2020,2,Misiones,63810317.83,342382
2020,2,Neuquén,109920043,1391662
2020,2,Rio Negro,116046483.9,1017574
2020,2,Salta,93846399.23,1346904
2020,2,San Juan,46489032.1,1154000
2020,2,San Luis,53528142.45,657319
2020,2,Santa Cruz,39242906.09,160078
2020,2,Santa Fe,671373615.6,7148226
2020,2,Santiago del Estero,71002600.39,2619307
2020,2,Tierra del Fuego,21363217.33,104353
2020,2,Tucumán,135034627.2,2715481
2020,1,Buenos Aires,1673145774,50762381
2020,1,Capital Federal y GBA,7075405748,118251035
2020,1,Catamarca,31561894.53,495441
2020,1,Chaco,94964648.9,3100282
2020,1,Chubut,97386815.27,1325968
2020,1,Córdoba,624202200.6,14713087
2020,1,Corrientes,67164280.18,772451
2020,1,Entre Ríos,153518097.2,2331018
2020,1,Formosa,48940316.42,2422983
2020,1,Jujuy,52215586.2,1385975
2020,1,La Pampa,58869474.91,780215
2020,1,La Rioja,34262099.03,1316614
2020,1,Mendoza,244555902.3,11800144
2020,1,Misiones,87277406.36,500413
2020,1,Neuquén,120558880.3,1572584
2020,1,Rio Negro,126739028.4,1139491
2020,1,Salta,91638828.79,1629029
2020,1,San Juan,47466068.94,1192946
2020,1,San Luis,51957993.99,600797
2020,1,Santa Cruz,50355130.49,522887
2020,1,Santa Fe,582668438.8,7686554
2020,1,Santiago del Estero,64053629,2338854
2020,1,Tierra del Fuego,23163050.46,139238
2020,1,Tucumán,143466148.9,3694771
2019,4,Buenos Aires,1816269199,61424650
2019,4,Capital Federal y GBA,6831564483,134742191
2019,4,Catamarca,32083550.96,531723
2019,4,Chaco,116804186.4,3551015
2019,4,Chubut,102437674.7,845744
2019,4,Córdoba,615355794.8,12471908
2019,4,Corrientes,66154634.41,665657
2019,4,Entre Ríos,154500453.9,2613223
2019,4,Formosa,51206153.31,805069
2019,4,Jujuy,54038545.12,1387884
2019,4,La Pampa,59617675.72,1103522
2019,4,La Rioja,34653083.76,302423
2019,4,Mendoza,256395466.6,7449499
2019,4,Misiones,92108728.74,581211
2019,4,Neuquén,133526179.3,1863072
2019,4,Rio Negro,169412602.4,1688334
2019,4,Salta,96559226.83,1454881
2019,4,San Juan,44069265.36,1398362
2019,4,San Luis,56103635.21,871431
2019,4,Santa Cruz,57300263.38,274761
2019,4,Santa Fe,604585895.1,9532240
2019,4,Santiago del Estero,83859381.15,2756158
2019,4,Tierra del Fuego,26111394.58,172094
2019,4,Tucumán,154559381.6,3899655
2019,3,Buenos Aires,2101007731.67,58486139
2019,3,Capital Federal y GBA,6386810214.93,148455168
2019,3,Catamarca,28722041.68,616134
2019,3,Chaco,116178982.7,3434803
2019,3,Chubut,77746605.87,925720
2019,3,Córdoba,561450590.7,13002408
2019,3,Corrientes,60948475.78,830489
2019,3,Entre Ríos,136890476.2,2713103
2019,3,Formosa,61585145.11,1080524
2019,3,Jujuy,47880350.24,1325447
2019,3,La Pampa,52522450.6,1124252
2019,3,La Rioja,28967318.89,309804
2019,3,Mendoza,220491779.8,7598012
2019,3,Misiones,83570352.56,657325
2019,3,Neuquén,97451277.64,1918158
2019,3,Rio Negro,94164466.05,1380431
2019,3,Salta,106346708.9,2073956
2019,3,San Juan,39108972.45,1502679
2019,3,San Luis,35479988.09,2060126
2019,3,Santa Cruz,40129105.22,261278
2019,3,Santa Fe,552976275.4,9073329
2019,3,Santiago del Estero,65098558.73,2453975
2019,3,Tierra del Fuego,25208932.98,191907
2019,3,Tucumán,138887023.3,3847414
2019,2,Buenos Aires,1551136708,58805036
2019,2,Capital Federal y GBA,5764017411,133934950
2019,2,Catamarca,29216596.35,538596
2019,2,Chaco,75601062.1,2966276
2019,2,Chubut,74439284.72,918624
2019,2,Córdoba,523527338.8,11462891
2019,2,Corrientes,53564153.49,897943
2019,2,Entre Ríos,120050911.5,2406715
